temporada;time;tgols
2007;America-RN;24
2007;Athletico-PR;51
2007;Atletico-MG;63
2007;Botafogo-RJ;62
2007;Corinthians;40
2007;Cruzeiro;73
2007;Figueirense;57
2007;Flamengo;55
2007;Fluminense;57
2007;Goias;49
2007;Gremio;44
2007;Internacional;49
2007;Juventude;43
2007;Nautico;66
2007;Palmeiras;48
2007;Parana;42
2007;Santos;57
2007;Sao Paulo;55
2007;Sport;54
2007;Vasco;58
2008;Athletico-PR;45
2008;Atletico-MG;50
2008;Botafogo-RJ;51
2008;Coritiba;55
2008;Cruzeiro;59
2008;Figueirense;49
2008;Flamengo;67
2008;Fluminense;49
2008;Goias;57
2008;Gremio;59
2008;Internacional;48
2008;Ipatinga;37
2008;Nautico;44
2008;Palmeiras;55
2008;Portuguesa;48
2008;Santos;44
2008;Sao Paulo;66
2008;Sport;48
2008;Vasco;56
2008;Vitoria;48
2009;Athletico-PR;42
2009;Atletico-MG;55
2009;Avai;61
2009;Barueri;59
2009;Botafogo-RJ;52
2009;Corinthians;50
2009;Coritiba;48
2009;Cruzeiro;58
2009;Flamengo;58
2009;Fluminense;49
2009;Goias;64
2009;Gremio;67
2009;Internacional;65
2009;Nautico;48
2009;Palmeiras;58
2009;Santo Andre;46
2009;Santos;58
2009;Sao Paulo;57
2009;Sport;48
2009;Vitoria;51
2010;Athletico-PR;43
2010;Atletico-GO;51
2010;Atletico-MG;52
2010;Avai;49
2010;Botafogo-RJ;54
2010;Ceara;35
2010;Corinthians;65
2010;Cruzeiro;53
2010;Flamengo;41
2010;Fluminense;62
2010;Goias;41
2010;Gremio;68
2010;Gremio Prudente;39
2010;Guarani;33
2010;Internacional;48
2010;Palmeiras;42
2010;Santos;63
2010;Sao Paulo;54
2010;Vasco;43
2010;Vitoria;42
2011;America-MG;51
2011;Athletico-PR;38
2011;Atletico-GO;50
2011;Atletico-MG;50
2011;Avai;45
2011;Bahia;43
2011;Botafogo-RJ;52
2011;Ceara;47
2011;Corinthians;53
2011;Coritiba;57
2011;Cruzeiro;48
2011;Figueirense;46
2011;Flamengo;59
2011;Fluminense;60
2011;Gremio;49
2011;Internacional;57
2011;Palmeiras;43
2011;Santos;55
2011;Sao Paulo;57
2011;Vasco;57
2012;Atletico-GO;37
2012;Atletico-MG;64
2012;Bahia;37
2012;Botafogo-RJ;60
2012;Corinthians;51
2012;Coritiba;53
2012;Cruzeiro;47
2012;Figueirense;39
2012;Flamengo;39
2012;Fluminense;61
2012;Gremio;56
2012;Internacional;44
2012;Nautico;44
2012;Palmeiras;39
2012;Ponte Preta;37
2012;Portuguesa;39
2012;Santos;50
2012;Sao Paulo;59
2012;Sport;39
2012;Vasco;45
2013;Athletico-PR;65
2013;Atletico-MG;49
2013;Bahia;37
2013;Botafogo-RJ;55
2013;Corinthians;27
2013;Coritiba;42
2013;Criciuma;49
2013;Cruzeiro;77
2013;Flamengo;43
2013;Fluminense;43
2013;Goias;48
2013;Gremio;42
2013;Internacional;51
2013;Nautico;22
2013;Ponte Preta;37
2013;Portuguesa;50
2013;Santos;51
2013;Sao Paulo;39
2013;Vasco;50
2013;Vitoria;59
2014;Athletico-PR;43
2014;Atletico-MG;51
2014;Bahia;31
2014;Botafogo-RJ;31
2014;Chapecoense;39
2014;Corinthians;49
2014;Coritiba;42
2014;Criciuma;28
2014;Cruzeiro;67
2014;Figueirense;37
2014;Flamengo;46
2014;Fluminense;61
2014;Goias;38
2014;Gremio;36
2014;Internacional;53
2014;Palmeiras;34
2014;Santos;42
2014;Sao Paulo;59
2014;Sport;36
2014;Vitoria;37
2015;Athletico-PR;43
2015;Atletico-MG;65
2015;Avai;38
2015;Chapecoense;34
2015;Corinthians;71
2015;Coritiba;31
2015;Cruzeiro;44
2015;Figueirense;36
2015;Flamengo;45
2015;Fluminense;40
2015;Goias;39
2015;Gremio;52
2015;Internacional;39
2015;Joinville;26
2015;Palmeiras;60
2015;Ponte Preta;41
2015;Santos;59
2015;Sao Paulo;53
2015;Sport;53
2015;Vasco;28
2016;America-MG;23
2016;Athletico-PR;38
2016;Atletico-MG;61
2016;Botafogo-RJ;43
2016;Chapecoense;49
2016;Corinthians;48
2016;Coritiba;41
2016;Cruzeiro;48
2016;Figueirense;30
2016;Flamengo;52
2016;Fluminense;45
2016;Gremio;41
2016;Internacional;35
2016;Palmeiras;62
2016;Ponte Preta;48
2016;Santa Cruz;45
2016;Santos;59
2016;Sao Paulo;44
2016;Sport;49
2016;Vitoria;51
2017;Athletico-PR;45
2017;Atletico-GO;38
2017;Atletico-MG;52
2017;Avai;29
2017;Bahia;50
2017;Botafogo-RJ;45
2017;Chapecoense;47
2017;Corinthians;50
2017;Coritiba;42
2017;Cruzeiro;47
2017;Flamengo;49
2017;Fluminense;50
2017;Gremio;55
2017;Palmeiras;61
2017;Ponte Preta;37
2017;Santos;42
2017;Sao Paulo;48
2017;Sport;46
2017;Vasco;40
2017;Vitoria;50
2018;America-MG;30
2018;Athletico-PR;54
2018;Atletico-MG;56
2018;Bahia;39
2018;Botafogo-RJ;38
2018;Ceara;32
2018;Chapecoense;34
2018;Corinthians;34
2018;Cruzeiro;34
2018;Flamengo;59
2018;Fluminense;32
2018;Gremio;48
2018;Internacional;51
2018;Palmeiras;64
2018;Parana;18
2018;Santos;46
2018;Sao Paulo;46
2018;Sport;35
2018;Vasco;41
2018;Vitoria;36
2019;Athletico-PR;51
2019;Atletico-MG;45
2019;Avai;18
2019;Bahia;44
2019;Botafogo-RJ;31
2019;CSA;24
2019;Ceara;36
2019;Chapecoense;31
2019;Corinthians;42
2019;Cruzeiro;27
2019;Flamengo;86
2019;Fluminense;38
2019;Fortaleza;50
2019;Goias;46
2019;Gremio;64
2019;Internacional;44
2019;Palmeiras;61
2019;Santos;60
2019;Sao Paulo;39
2019;Vasco;39
2020;Athletico-PR;38
2020;Atletico-GO;40
2020;Atletico-MG;64
2020;Bahia;48
2020;Botafogo-RJ;32
2020;Bragantino;50
2020;Ceara;54
2020;Corinthians;45
2020;Coritiba;31
2020;Flamengo;68
2020;Fluminense;55
2020;Fortaleza;34
2020;Goias;41
2020;Gremio;53
2020;Internacional;61
2020;Palmeiras;51
2020;Santos;52
2020;Sao Paulo;59
2020;Sport;31
2020;Vasco;37
2021;America-MG;41
2021;Athletico-PR;41
2021;Atletico-GO;33
2021;Atletico-MG;67
2021;Bahia;42
2021;Bragantino;55
2021;Ceara;39
2021;Chapecoense;27
2021;Corinthians;40
2021;Cuiaba;34
2021;Flamengo;69
2021;Fluminense;38
2021;Fortaleza;44
2021;Gremio;44
2021;Internacional;44
2021;Juventude;36
2021;Palmeiras;58
2021;Santos;35
2021;Sao Paulo;31
2021;Sport;24
2022;America-MG;40
2022;Athletico-PR;48
2022;Atletico-GO;39
2022;Atletico-MG;45
2022;Avai;34
2022;Botafogo-RJ;41
2022;Bragantino;49
2022;Ceara;34
2022;Corinthians;44
2022;Coritiba;39
2022;Cuiaba;31
2022;Flamengo;60
2022;Fluminense;63
2022;Fortaleza;46
2022;Goias;40
2022;Internacional;58
2022;Juventude;29
2022;Palmeiras;66
2022;Santos;44
2022;Sao Paulo;55
